sample,genus,species,chromon,armn,macrop,microp,norpos,norpair,pair1,pair2,pair3,pair4,pair5,pair6,pair7,pair8,pair9,pair10,pair11,pair12,pair13,pair14,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,ref
CGA764,calumma,calumma_gallus2,32,44,6,10,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
Calboe,calumma ,calumma_boettegeri,28,40,6,8,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Bourgat, 1973; De Smet, 1981"
Bratha,bradypodion,bradypodion_thamnobates,34,46,6,11,macro,2,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Gordon et al., 1989; Rovatsos et al., 2017"
Bramel,bradypodion,bradypodion_melanocephalum,34,46,6,11,macro,2,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Gordon et al., 1989"
Bratra,bradypodion,bradypodion_transvaalense,34,46,6,11,macro,2,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Gordon et al., 1989"
Bradra,bradypodion,bradypodion_dracomontanum,34,46,6,11,macro,2,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Gordon et al., 1989"
Brapum,bradypodion,bradypodion_pumilium,34,46,6,11,macro,2,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Matthey & van Brink, 1956; Matthey, 1957"
Bradam,bradypodion,bradypodion_damaranum,34,46,6,11,macro,2,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Gordon, 1989 unpublished; Gordon et al., 1989"
Braset,bradypodion,bradypodion_setaroi,34,46,6,11,macro,2,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Gordon, 1989 unpublished; Gordon et al., 1989"
Bragut,bradypodion,bradypodion_gutturale,34,46,6,11,macro,2,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Gordon, 1989 unpublished; Gordon et al., 1989"
Braven,bradypodion,bradypodion_ventrale,34,46,6,11,macro,2,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Gordon, 1989 unpublished; Gordon et al., 1989"
Chacha,chamaeleo,chamaeleo_chamaeleon,24,36,6,6,macro,2,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA," Matthey, 1957; Branch, 1980; Rovatsos et al., 2017; Sidhom et al., 2020"
Chacaly,chamaeleo,chamaeleo_calyptratus,24,36,6,6,macro,1,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"PokorNA et al., 2011; Rovatsos et al., 2015, 2017"
Chadil,chamaeleo,chamaeleo_dilepis,24,36,6,6,macro,2,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA," Matthey, 1957; De Smet, 1981"
Chanam,chamaeleo,chamaeleo_namaquensis,24,36,6,6,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Robinson, 1979"
Chazey,chamaeleo,chamaeleo_zeylanicus,24,36,6,6,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Matthey, 1931"
Chasen,chamaeleo,chamaeleo_senegalensis,24,36,6,6,NA,NA,meta,meta,meta,meta,submeta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Matthey, 1957"
Chaafr,chamaeleo,chamaeleo_africanus,24,36,6,6,NA,NA,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Matthey & van Brink, 1960"
Kinboe,kinyongia,kinyongia_boehmei,36,48,6,12,macro,2,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Rovatsos et al., 2017"
Kinxen,kinyongia,kinyongia_xenorhina,36,48,6,12,macro,2,meta,meta,meta,meta,meta,submeta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,"Rovatsos et al., 2017"
Kinfis,kinyongia,kinyongia_fischeri,36,48,6,12,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Matthey & van Brink, 1956; Matthey, 1957"
Rhatem,rhampholeon,rhampholeon_temporalis,22,38,8,3,macro,2,meta,meta,meta,submeta,submeta,submeta,meta,submeta,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,NA,NA,NA,NA,NA,NA,"Rovatsos et al., 2017"
Rhamar,rhampholeon,rhampholeon_marshalli,20,38,9,1,NA,NA,meta,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,"Wright & Broadley, 1973"
Rhaspe,rhampholeon,rhampholeon_spectrum,20,38,9,1,NA,NA,meta,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,"Matthey, 1957; Matthey & van Brink, 1960"
Riebrev,rieppeleon,rieppeleon_brevicaudatus,62,62,14,17,macro,6,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,"Rovatsos et al., 2017"
Tribit,trioceros,trioceros_bitaeniatus,24,44,10,2,macro,2,submeta,submeta,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA," Matthey, 1957; Rovatsos et al., 2015, 2017"
Trihoe,trioceros,tioceros_hoehnelii,24,44,10,2,macro,2,submeta,submeta,submeta,meta,submeta,meta,meta,meta,meta,meta,NA,NA,NA,NA,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,"Rovatsos et al., 2017"
Trijoh,trioceros,trioceros_johnstoni,36,50,7,11,macro,2,meta,meta,meta,meta,meta,meta,subtelo,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.2,NA,NA,NA,NA,NA,NA,NA," Matthey, 1957; Rovatsos et al., 2017"
Trimel,trioceros,trioceros_melleri,36,48,6,12,macro,2,subtelo,subtelo,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Rovatsos et al., 2017"
Triqua,trioceros,trioceros_quadricornis,36,48,6,12,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Matthey & van Brink, 1960"
Triwie,trioceros,trioceros_wiedersheimi,36,48,6,12,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Matthey & van Brink, 1960"
Tricri,trioceros,trioceros_cristatus,36,48,6,12,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Matthey, 1957"
Triowe,trioceros,trioceros_oweni,36,48,6,12,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA," Matthey, 1957; Matthey & van Brink, 1960"
Trijac,trioceros,trioceros_jacksoni,24,44,10,2,macro,2,subtelo,subtelo,subtelo,subtelo,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,"Matthey & van Brink, 1960;  De Smet, 1981"
